"","Date Time","Water Level","Water Temperature"
"1",2019-05-22 12:03:00,NA,8.68
"2",2019-05-22 12:04:00,80,9.965
"3",2019-05-22 12:05:00,80.2,10.161
"4",2019-05-22 12:06:00,80.5,9.669
"5",2019-05-22 12:07:00,80.3,9.176
"6",2019-05-22 12:08:00,80.3,8.879
"7",2019-05-22 12:09:00,80.7,8.581
"8",2019-05-22 12:10:00,80.8,8.382
"9",2019-05-22 12:11:00,80.7,8.182
"10",2019-05-22 12:12:00,80.8,7.983
"11",2019-05-22 12:13:00,80.6,7.882
"12",2019-05-22 12:14:00,80.7,7.682
"13",2019-05-22 12:15:00,80.8,7.582
"14",2019-05-22 12:16:00,80.8,7.481
"15",2019-05-22 12:17:00,80.7,7.481
"16",2019-05-22 12:18:00,80.9,7.381
"17",2019-05-22 12:19:00,80.7,7.28
"18",2019-05-22 12:20:00,80.8,7.179
"19",2019-05-22 12:21:00,80.8,7.179
"20",2019-05-22 12:22:00,80.9,7.079
"21",2019-05-22 12:23:00,81.1,7.079
"22",2019-05-22 12:24:00,81.3,6.978
"23",2019-05-22 12:25:00,81.2,6.978
"24",2019-05-22 12:26:00,81,6.978
"25",2019-05-22 12:27:00,80.9,6.877
"26",2019-05-22 12:28:00,81,6.877
"27",2019-05-22 12:29:00,81,6.877
"28",2019-05-22 12:30:00,81,6.775
"29",2019-05-22 12:31:00,81.1,6.775
"30",2019-05-22 12:32:00,81.1,6.775
"31",2019-05-22 12:33:00,80.9,6.775
"32",2019-05-22 12:34:00,81.2,6.775
"33",2019-05-22 12:35:00,81.2,6.674
"34",2019-05-22 12:36:00,81.1,6.674
"35",2019-05-22 12:37:00,80.9,6.674
"36",2019-05-22 12:38:00,81.2,6.674
"37",2019-05-22 12:39:00,81,6.674
"38",2019-05-22 12:40:00,81.2,6.573
"39",2019-05-22 12:41:00,81.1,6.573
"40",2019-05-22 12:42:00,80.9,6.573
"41",2019-05-22 12:43:00,81.1,6.573
"42",2019-05-22 12:44:00,81.3,6.573
"43",2019-05-22 12:45:00,81.2,6.573
"44",2019-05-22 12:46:00,81.1,6.573
"45",2019-05-22 12:47:00,81.4,6.573
"46",2019-05-22 12:48:00,81.2,6.471
"47",2019-05-22 12:49:00,81,6.471
"48",2019-05-22 12:50:00,81.1,6.471
"49",2019-05-22 12:51:00,81.1,6.471
"50",2019-05-22 12:52:00,81.1,6.471
"51",2019-05-22 12:53:00,81.2,6.471
"52",2019-05-22 12:54:00,81.2,6.471
"53",2019-05-22 12:55:00,81.3,6.471
"54",2019-05-22 12:56:00,81.3,6.471
"55",2019-05-22 12:57:00,81.1,6.471
"56",2019-05-22 12:58:00,81.2,6.471
"57",2019-05-22 12:59:00,81.3,6.471
"58",2019-05-22 13:00:00,81.4,6.471
"59",2019-05-22 13:01:00,81.3,6.37
"60",2019-05-22 13:02:00,81.2,6.37
"61",2019-05-22 13:03:00,81.4,6.37
"62",2019-05-22 13:04:00,81.4,6.37
"63",2019-05-22 13:05:00,81.4,6.37
"64",2019-05-22 13:06:00,81.4,6.37
"65",2019-05-22 13:07:00,81.4,6.37
"66",2019-05-22 13:08:00,81.4,6.37
"67",2019-05-22 13:09:00,81.4,6.37
"68",2019-05-22 13:10:00,81.4,6.37
"69",2019-05-22 13:11:00,81.7,6.37
"70",2019-05-22 13:12:00,81.4,6.37
"71",2019-05-22 13:13:00,81.3,6.37
"72",2019-05-22 13:14:00,81.5,6.37
"73",2019-05-22 13:15:00,81.5,6.37
"74",2019-05-22 13:16:00,81.5,6.37
"75",2019-05-22 13:17:00,81.5,6.37
"76",2019-05-22 13:18:00,81.7,6.37
"77",2019-05-22 13:19:00,81.5,6.37
"78",2019-05-22 13:20:00,81.6,6.37
"79",2019-05-22 13:21:00,81.7,6.37
"80",2019-05-22 13:22:00,81.5,6.37
"81",2019-05-22 13:23:00,81.4,6.37
"82",2019-05-22 13:24:00,81.5,6.37
"83",2019-05-22 13:25:00,81.6,6.37
"84",2019-05-22 13:26:00,81.7,6.268
"85",2019-05-22 13:27:00,81.5,6.268
"86",2019-05-22 13:28:00,81.5,6.37
"87",2019-05-22 13:29:00,81.8,6.268
"88",2019-05-22 13:30:00,81.6,6.268
"89",2019-05-22 13:31:00,81.7,6.268
"90",2019-05-22 13:32:00,81.7,6.268
"91",2019-05-22 13:33:00,81.6,6.268
"92",2019-05-22 13:34:00,81.5,6.268
"93",2019-05-22 13:35:00,81.5,6.268
"94",2019-05-22 13:36:00,81.5,6.268
"95",2019-05-22 13:37:00,81.6,6.268
"96",2019-05-22 13:38:00,81.5,6.268
"97",2019-05-22 13:39:00,81.6,6.268
"98",2019-05-22 13:40:00,81.7,6.268
"99",2019-05-22 13:41:00,81.6,6.268
"100",2019-05-22 13:42:00,81.5,6.268
"101",2019-05-22 13:43:00,81.6,6.268
"102",2019-05-22 13:44:00,81.5,6.268
"103",2019-05-22 13:45:00,81.8,6.268
"104",2019-05-22 13:46:00,81.7,6.268
"105",2019-05-22 13:47:00,81.6,6.268
"106",2019-05-22 13:48:00,81.6,6.268
"107",2019-05-22 13:49:00,81.7,6.268
"108",2019-05-22 13:50:00,81.7,6.268
"109",2019-05-22 13:51:00,81.7,6.268
"110",2019-05-22 13:52:00,81.7,6.268
"111",2019-05-22 13:53:00,81.9,6.268
"112",2019-05-22 13:54:00,81.8,6.268
"113",2019-05-22 13:55:00,81.7,6.268
"114",2019-05-22 13:56:00,81.7,6.268
"115",2019-05-22 13:57:00,81.8,6.268
"116",2019-05-22 13:58:00,82,6.268
"117",2019-05-22 13:59:00,81.7,6.268
"118",2019-05-22 14:00:00,81.8,6.268
"119",2019-05-22 14:01:00,81.9,6.268
"120",2019-05-22 14:02:00,81.8,6.268
"121",2019-05-22 14:03:00,82,6.268
"122",2019-05-22 14:04:00,81.8,6.268
"123",2019-05-22 14:05:00,82,6.268
"124",2019-05-22 14:06:00,82,6.268
"125",2019-05-22 14:07:00,82.2,6.268
"126",2019-05-22 14:08:00,82,6.268
"127",2019-05-22 14:09:00,82.1,6.268
"128",2019-05-22 14:10:00,82.1,6.268
"129",2019-05-22 14:11:00,82.1,6.268
"130",2019-05-22 14:12:00,82,6.268
"131",2019-05-22 14:13:00,82.1,6.268
"132",2019-05-22 14:14:00,82,6.268
"133",2019-05-22 14:15:00,82.2,6.268
"134",2019-05-22 14:16:00,82.1,6.268
"135",2019-05-22 14:17:00,82.1,6.268
"136",2019-05-22 14:18:00,82.5,6.268
"137",2019-05-22 14:19:00,82.2,6.268
"138",2019-05-22 14:20:00,82.3,6.268
"139",2019-05-22 14:21:00,82.2,6.268
"140",2019-05-22 14:22:00,82.1,6.268
"141",2019-05-22 14:23:00,82.4,6.268
"142",2019-05-22 14:24:00,82.2,6.268
"143",2019-05-22 14:25:00,82.6,6.268
"144",2019-05-22 14:26:00,82.4,6.268
"145",2019-05-22 14:27:00,82.4,6.268
"146",2019-05-22 14:28:00,82.5,6.268
"147",2019-05-22 14:29:00,82.2,6.268
"148",2019-05-22 14:30:00,82.5,6.268
"149",2019-05-22 14:31:00,82.4,6.268
"150",2019-05-22 14:32:00,82.3,6.268
"151",2019-05-22 14:33:00,82.4,6.268
"152",2019-05-22 14:34:00,82.4,6.268
"153",2019-05-22 14:35:00,82.3,6.268
"154",2019-05-22 14:36:00,82.2,6.268
"155",2019-05-22 14:37:00,82.3,6.268
"156",2019-05-22 14:38:00,82.1,6.268
"157",2019-05-22 14:39:00,82.2,6.268
"158",2019-05-22 14:40:00,82.3,6.268
"159",2019-05-22 14:41:00,82.1,6.268
"160",2019-05-22 14:42:00,82.5,6.268
"161",2019-05-22 14:43:00,82.5,6.268
"162",2019-05-22 14:44:00,82.3,6.268
"163",2019-05-22 14:45:00,82.4,6.268
"164",2019-05-22 14:46:00,82.1,6.268
"165",2019-05-22 14:47:00,82.3,6.268
"166",2019-05-22 14:48:00,82.4,6.268
"167",2019-05-22 14:49:00,82.1,6.268
"168",2019-05-22 14:50:00,82.4,6.268
"169",2019-05-22 14:51:00,82.3,6.268
"170",2019-05-22 14:52:00,82.4,6.268
"171",2019-05-22 14:53:00,82.3,6.268
"172",2019-05-22 14:54:00,82.3,6.268
"173",2019-05-22 14:55:00,82.5,6.268
"174",2019-05-22 14:56:00,82.4,6.268
"175",2019-05-22 14:57:00,82.5,6.268
"176",2019-05-22 14:58:00,82.3,6.268
"177",2019-05-22 14:59:00,82.6,6.268
"178",2019-05-22 15:00:00,82.8,6.268
"179",2019-05-22 15:01:00,82.5,6.268
"180",2019-05-22 15:02:00,82.6,6.268
"181",2019-05-22 15:03:00,82.7,6.268
"182",2019-05-22 15:04:00,82.6,6.268
"183",2019-05-22 15:05:00,82.5,6.268
"184",2019-05-22 15:06:00,82.6,6.268
"185",2019-05-22 15:07:00,82.7,6.268
"186",2019-05-22 15:08:00,82.7,6.268
"187",2019-05-22 15:09:00,82.7,6.268
"188",2019-05-22 15:10:00,82.7,6.268
"189",2019-05-22 15:11:00,82.7,6.268
"190",2019-05-22 15:12:00,82.7,6.268
"191",2019-05-22 15:13:00,82.6,6.268
"192",2019-05-22 15:14:00,82.6,6.268
"193",2019-05-22 15:15:00,82.7,6.268
"194",2019-05-22 15:16:00,82.6,6.268
"195",2019-05-22 15:17:00,82.6,6.268
"196",2019-05-22 15:18:00,82.7,6.268
