,Site,SampleTime,SampleDate,pH,LocationType,GWType,X,Y,Na_mgL,Mg_mgL,Al_mgL,SiO2_mgL,K_mgL,Ca_mgL,Mn_mgL,Fe_mgL,F_mgL,Cl_mgL,NO3_mgL,SO4_mgL,DOC_mgL,TDN_mgL,Na_MP,Mg_MP,Al_MP,Si_MP,P_MP,K_MP,Ca_MP,Mn_MP,Fe_MP,Zn_MP,Rb_MP,Sr_MP,Ba_MP,Pb_MP,NH4 mg N/L,Alm_mgL,Alo_mgL,Durham_id,Method,SpecCond,DON_mgL,TMAl_mgL,OMAl_mgL,IMAl_mgL,NH4_NmgL,PO4_PmgL,S_mgL,Sr_mgL,Zn_mgL
1,42_2_s1,1/1/00 14:03,7/12/19,4.43,G1,shallow,281626.546,4871231.05,0.43,0.06,0.53,2.68,0.1,0.22,0.07,0.28,0.02,0.22,0.01,0.51,14.67,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SG-105,pump,17.21,0.31,0.4,0.25,0.15,0.021,0.016,0.28,0.002,0.02
2,42_2_s1,1/1/00 14:36,6/6/19,4.54,G1,shallow,281626.546,4871231.05,0.36,0.06,0.6,2.28,0.09,0.17,0.07,0.27,0.02,0.23,0.04,0.67,13.78,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SG-001,pump,15.12,0.28,0.405,0.158,0.247,0.011,0.017,0.23,0.002,0.013
3,42_2_s1,1/1/00 15:53,6/11/19,4.43,G1,shallow,281626.546,4871231.05,0.44,0.06,0.57,2.19,0.11,0.17,0.08,0.28,0.03,0.37,0.02,0.61,14.43,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SG-028,pump,16.71,0.35,0.402,0.156,0.246,0.012,0.018,0.24,0.004,0.024
4,42_3_s1,1/1/00 14:06,6/6/19,4.76,G2,shallow,281637.4851,4871215.022,0.38,0.06,0.45,2.15,0.1,0.14,0.08,0.09,0.02,0.33,0.31,1.09,7.73,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SG-002,pump,11.32,0.19,0.302,0.084,0.217,0.013,0.025,0.34,0.002,0.006
5,42_3_s1,1/1/00 16:10,6/11/19,4.67,G2,shallow,281637.4851,4871215.022,0.36,0.06,0.5,2.02,0.1,0.16,0.09,0.1,0.02,0.44,0.3,1.01,8.35,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SG-029,pump,12.74,0.23,0.325,0.092,0.233,0.008,0.028,0.35,0.003,0.011
6,42_4_d1,1/1/00 11:30,9/6/19,5.06,G3,R_surface,281655.004,4871175.786,0.535145996,0.063093178,0.250682503,3.389771454,0.173934435,0.183072897,0.375208685,0.000459671,0.019408772,0.317316375,0.952705009,1.595834556,1.948728625,0.286922486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DG-104,pump,11.4,0.054093464,0.144362074,0.006129714,0.13823236,0.01761614,0.001457926,0.531569338,0.001417175,0.0636515
7,42_4_d1,1/1/00 11:32,7/1/20,6.34,G3,R_surface,281655.004,4871175.786,1.62562301,0.679847264,-0.003032535,12.59998617,0.526606553,2.93421953,0.000803854,-0.00364206,0.061954559,0.523070931,0.864462489,5.175371082,0.757937044,0.234452731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DG-106,pump,30.3,0.025032597,0.031244116,-0.001592942,0.032837058,0.014140943,0.011224683,1.682998132,0.020580155,0.016608666
8,42_4_d1,1/1/00 12:47,1/28/20,6.69,G3,R_surface,281655.004,4871175.786,1.694645784,0.632063624,0.031460892,12.43312201,0.49214876,3.694113608,0.002409611,0.01947237,0.044856343,0.488543527,0.828486311,5.00558078,0.443423121,0.202219048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DG-107,pump,35.2,0.006456619,NA,NA,NA,0.008610135,0.010057127,1.482225752,0.01850644,0.006759802
9,42_4_d1,1/1/00 12:50,7/16/19,6.41,G3,R_surface,281655.004,4871175.786,1.44,0.63,0.04,12.89,0.59,4.63,0.01,0.03,0.05,0.63,0.87,5.28,0.4,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DG-085,pump,41,0.07,NA,NA,NA,0.022,0.005,1.84,0.017,0.018
10,42_4_d1,1/1/00 13:08,7/8/19,6.34,G3,R_surface,281655.004,4871175.786,1.73,0.59,0.03,12.2,0.75,2.95,0.03,0.02,0.13,1,0.9,5.65,1.2,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DG-072,pump,36.5,0.22,NA,NA,NA,0.03,0.003,1.89,0.016,0.025
