Durham_id,Site,SampleDate,SampleTime,Method,pH,SpecCond,DOC_mgL,TDN_mgL,DON_mgL,F_mgL,Cl_mgL,NO3_mgL,SO4_mgL,TMAl_mgL,OMAl_mgL,IMAl_mgL,NH4_NmgL,PO4_PmgL,Al_mgL,Ca_mgL,Fe_mgL,K_mgL,Mg_mgL,Mn_mgL,Na_mgL,S_mgL,SiO2_mgL,Sr_mgL,Zn_mgL,LocationType,GWType,X,Y
DG-001,52_4_d2,2019-03-13T00:00:00Z,1899-12-31T10:50:00Z,pump,6.58,46.6,0.42,0.18,0.01,0.07,0.51,0.71,4.56,NA,NA,NA,0.012,0.014,0.02,4.75,0.02,0.63,1.666,0.004,2.03,1.45,15.66,0.032,0,G3,deep_intoC,281762.5976,4871095.145
DG-002,52_4_d1,2019-03-13T00:00:00Z,1899-12-31T10:55:00Z,pump,6.7,44.2,0.84,0.23,0.01,0.08,0.47,0.89,4.56,NA,NA,NA,0.012,0.006,0.13,3.73,0.12,0.76,1.446,0.08,2.64,1.41,11.23,0.031,0,G4,R_surface,281789.7025,4871168.696
DG-003,86_3_d2,2019-03-13T00:00:00Z,1899-12-31T11:47:00Z,pump,5.61,13.3,3.9,0.32,0.1,0.04,0.47,0.78,2.85,NA,NA,NA,0.039,0.003,0.32,0.36,0.03,0.49,0.155,0.114,1.33,0.89,5.28,0.005,0.04,G2,R_surface,281858.8713,4870633.421
DG-004,42_4_d1,2019-06-06T00:00:00Z,1899-12-31T14:25:00Z,pump,6.34,34.8,0.43,0.27,0.07,0.05,0.61,0.87,5.59,NA,NA,NA,0.005,0.006,0.01,4.28,0,0.62,0.65,0.02,1.68,1.69,13.95,0.019,-0.001,G3,R_surface,281655.004,4871175.786
DG-005,42_4_d2,2019-06-06T00:00:00Z,1899-12-31T14:40:00Z,pump,5.75,15.97,0.44,0.15,0.01,0.05,0.52,0.55,3.77,NA,NA,NA,0.009,0.001,0.03,1.31,0,0.45,0.15,0.02,0.95,1.25,7.92,0.019,0.003,G3,deep_intoC,281655.033,4871176.429
DG-009,52_4_d1,2019-06-06T00:00:00Z,1899-12-31T11:43:00Z,pump,6.75,46.5,0.28,0.23,0.06,0.08,0.54,0.72,4.99,NA,NA,NA,0.008,0.015,0.26,3.95,0.24,0.83,1.48,0.12,3.44,1.34,12.91,0.029,0.003,G4,R_surface,281789.7025,4871168.696
DG-010,52_4_d2,2019-06-06T00:00:00Z,1899-12-31T11:00:00Z,pump,6.78,50.4,0.77,0.23,0.02,0.13,0.6,0.93,4.63,NA,NA,NA,0.004,0.004,0.03,5.31,0.03,0.73,2.03,0,2.16,1.48,16.08,0.037,0.006,G3,deep_intoC,281762.5976,4871095.145
DG-013,86_3_d2,2019-06-06T00:00:00Z,1899-12-31T09:10:00Z,pump,4.99,12.69,4.48,0.22,0.14,0.04,0.57,0.31,2.73,NA,NA,NA,0.016,0.001,0.53,0.33,0.04,0.22,0.1,0.01,0.65,0.9,4.79,0.006,0.014,G2,R_surface,281858.8713,4870633.421
DG-015,K1d,2019-06-06T00:00:00Z,1899-12-31T15:11:00Z,pump,6.07,16.29,0.54,0.11,0.05,0.04,0.53,0.27,3.05,NA,NA,NA,0.004,0.001,0.01,1.36,0.01,0.21,0.28,0.01,1.12,0.95,8,0.009,0.022,G5,deep_intoC,281686.6880,4871076.5000
DG-031,42_4_d1,2019-06-11T00:00:00Z,1899-12-31T16:48:00Z,pump,6.68,15.22,0.28,0.13,0,0.04,0.52,0.56,3.85,NA,NA,NA,0.002,0.001,0.02,1.29,0,0.44,0.15,0.03,1,1.18,7.92,0.018,-0.003,G3,R_surface,281655.004,4871175.786
