Site,SampleTime,SampleDate,pH,LocationType,Na_mgL,Mg_mgL,Al_mgL,SiO2_mgL,K_mgL,Ca_mgL,Mn_mgL,Fe_mgL,F_mgL,Cl_mgL,NO3_mgL,SO4_mgL,DOC_mgL,TDN_mgL,GWType,X,Y,Na_MP,Mg_MP,Al_MP,Si_MP,P_MP,K_MP,Ca_MP,Mn_MP,Fe_MP,Zn_MP,Rb_MP,Sr_MP,Ba_MP,Pb_MP,NH4 mg N/L,Alm_mgL,Alo_mgL,Durham_id,Method,SpecCond,DON_mgL,TMAl_mgL,OMAl_mgL,IMAl_mgL,NH4_NmgL,PO4_PmgL,S_mgL,Sr_mgL,Zn_mgL
42_2_s1,1899-12-31T12:25:00Z,2020-10-14T00:00:00Z,4.420000000000001,G1,0.7588450805770847,0.05593674379419661,0.5113027794198424,3.99164551612626,0.2749212864013851,0.13549077670098492,0.06494059073236971,0.24120029173790383,0.00555,1.2313587864323121,0.026500000000000003,0.9352553870729158,13.140017759540571,0.2854612585537422,shallow,281626.546,4871231.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SG-169,NA,NA,0.27020929465083,0.39873873984269614,0.24788109920904228,0.15085764063365387,0.009265702333261159,0.01921411181628569,0.32161881170125006,9e-4,0.0144292
42_2_s1,1899-12-31T14:00:00Z,2020-10-17T00:00:00Z,4.3500000000000005,G1,0.6580887702306598,0.049169424669622985,0.5623109874310082,3.758951592958,0.10299382691972102,0.080280729946062,0.06479232905489543,0.248972269584796,0.014810746015085285,1.0073162552299968,0.026500000000000003,0.7422911449446525,15.071659286969126,0.31450906488228964,shallow,281626.546,4871231.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SG-178,NA,NA,0.29726824933653,0.444369858880994,0.2793590618906389,0.1650107969903551,0.01125455397610832,0.01632675881303374,0.28102548117134246,9e-4,0.0064
42_2_s1,1899-12-31T14:03:00Z,2019-07-12T00:00:00Z,4.43,G1,0.43,0.06,0.53,2.68,0.1,0.22,0.07,0.28,0.02,0.22,0.01,0.51,14.67,0.33,shallow,281626.546,4871231.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SG-105,pump,17.21,0.31,0.4,0.25,0.15,0.021,0.016,0.28,0.002,0.02
42_2_s1,1899-12-31T14:36:00Z,2019-06-06T00:00:00Z,4.54,G1,0.36,0.06,0.6,2.28,0.09,0.17,0.07,0.27,0.02,0.23,0.04,0.67,13.78,0.3,shallow,281626.546,4871231.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SG-001,pump,15.12,0.28,0.405,0.158,0.247,0.011,0.017,0.23,0.002,0.013
42_2_s1,1899-12-31T15:53:00Z,2019-06-11T00:00:00Z,4.43,G1,0.44,0.06,0.57,2.19,0.11,0.17,0.08,0.28,0.03,0.37,0.02,0.61,14.43,0.36,shallow,281626.546,4871231.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SG-028,pump,16.71,0.35,0.402,0.156,0.246,0.012,0.018,0.24,0.004,0.024
42_3_s1,1899-12-31T12:59:00Z,2020-10-14T00:00:00Z,4.620000000000003,G2,0.6132570291331161,0.05679393602206577,0.35989832559910306,3.18104078403876,0.20853380386190495,0.24315118494736493,0.10535970789467876,0.11408874128239883,0.03219316340674044,1.1965848588541061,1.0427501448144836,1.0718032121818946,5.626236195766295,0.41679630972824133,shallow,281637.4851,4871215.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SG-170,NA,NA,0.166722261799558,0.25222240257325057,0.09055068191096789,0.16167172066228266,0.014520269866417523,0.035819623790388756,0.3221773945022955,0.00185191,0.0521636
42_3_s1,1899-12-31T14:06:00Z,2019-06-06T00:00:00Z,4.76,G2,0.38,0.06,0.45,2.15,0.1,0.14,0.08,0.09,0.02,0.33,0.31,1.09,7.73,0.27,shallow,281637.4851,4871215.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SG-002,pump,11.32,0.19,0.302,0.084,0.217,0.013,0.025,0.34,0.002,0.006
42_3_s1,1899-12-31T14:15:00Z,2020-10-17T00:00:00Z,4.490000000000001,G2,0.5430585527797235,0.036582748634999294,0.5340258929345316,2.99378884840883,0.1373518374917948,0.09287258740052515,0.058430690888853866,0.07967074683335518,0.016284077348030963,0.9747988337020045,0.31322750660987975,0.9875398674376779,9.199358506159877,0.3305384945940796,shallow,281637.4851,4871215.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SG-179,NA,NA,0.251113376451515,0.3880780422311364,0.18236636970524364,0.20571167252589276,0.008668069637807835,0.03701849393241006,0.3389007816453689,9e-4,0.0064
42_3_s1,1899-12-31T16:10:00Z,2019-06-11T00:00:00Z,4.67,G2,0.36,0.06,0.5,2.02,0.1,0.16,0.09,0.1,0.02,0.44,0.3,1.01,8.35,0.3,shallow,281637.4851,4871215.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SG-029,pump,12.74,0.23,0.325,0.092,0.233,0.008,0.028,0.35,0.003,0.011
42_4_d1,1899-12-31T11:30:00Z,2019-09-06T00:00:00Z,5.06,G3,0.5351459958393094,0.06309317778633518,0.2506825025841235,3.38977145362604,0.17393443455956162,0.18307289709498814,0.3752086846605727,4.596710274781257e-4,0.019408771694825133,0.3173163754618298,0.9527050085183181,1.5958345560229494,1.9487286245435782,0.2869224859803414,R_surface,281655.004,4871175.786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DG-104,pump,11.4,0.0540934635165297,0.14436207383386104,0.006129714160639272,0.13823235967322178,0.017616140210739373,0.0014579260961533006,0.5315693377653403,0.001417175,0.06365149961800917
42_4_d1,1899-12-31T11:32:00Z,2020-07-01T00:00:00Z,6.34,G3,1.625623009957973,0.6798472636137031,-0.00303253524999392,12.5999861704316,0.5266065529309016,2.9342195298448908,8.038540578160809e-4,-0.0036420597242004162,0.06195455900634742,0.5230709308336501,0.8644624885080797,5.175371081889711,0.7579370437625168,0.23445273117620502,R_surface,281655.004,4871175.786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DG-106,pump,30.3,0.0250325969154017,0.031244116227480672,-0.0015929417325358693,0.03283705796001654,0.014140942813254488,0.011224683118608848,1.6829981320842924,0.020580154609742423,0.01660866637969493
42_4_d1,1899-12-31T12:47:00Z,2020-01-28T00:00:00Z,6.69,G3,1.694645784094216,0.6320636235241108,0.031460891964300026,12.4331220088896,0.4921487604921104,3.6941136075647543,0.002409610955351577,0.019472369768869433,0.04485634310162524,0.4885435265374249,0.8284863113450605,5.005580779679739,0.44342312102853826,0.20221904757829703,R_surface,281655.004,4871175.786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DG-107,pump,35.2,0.00645661910317351,NA,NA,NA,0.008610135396401392,0.010057126951849434,1.4822257517802016,0.018506439929999785,0.00675980157929623
42_4_d1,1899-12-31T12:50:00Z,2019-07-16T00:00:00Z,6.41,G3,1.44,0.63,0.04,12.89,0.59,4.63,0.01,0.03,0.05,0.63,0.87,5.28,0.4,0.28,R_surface,281655.004,4871175.786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DG-085,pump,41,0.07,NA,NA,NA,0.022,0.005,1.84,0.017,0.018
42_4_d1,1899-12-31T13:08:00Z,2019-07-08T00:00:00Z,6.34,G3,1.73,0.59,0.03,12.2,0.75,2.95,0.03,0.02,0.13,1,0.9,5.65,1.2,0.46,R_surface,281655.004,4871175.786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DG-072,pump,36.5,0.22,NA,NA,NA,0.03,0.003,1.89,0.016,0.025
42_4_d1,1899-12-31T13:25:00Z,2019-07-30T00:00:00Z,6.29,G3,1.44,0.63,0,12.92,0.52,4.17,0.01,0,0.04,0.52,0.88,5.14,0.29,0.23,R_surface,281655.004,4871175.786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DG-098,pump,38.8,0.01,NA,NA,NA,0.016,0.007,1.81,0.018,0.015
42_4_d1,1899-12-31T13:25:00Z,2020-08-05T00:00:00Z,6.25,G3,2.02,0.69,0.04,12.72,0.84,2.7,0,0.03,0.06,1.11,1.04,5.46,1.17,0.46,R_surface,281655.004,4871175.786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DG-44,pump,NA,0.15,NA,NA,NA,0.066,0.016,1.75,0.02,0.04
42_4_d1,1899-12-31T13:27:00Z,2019-06-18T00:00:00Z,6.48,G3,1.58,0.66,0,13.05,0.57,6.63,0.01,0.01,0.05,0.5,0.86,5.02,0.49,0.21,R_surface,281655.004,4871175.786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DG-041,pump,45.48,0,NA,NA,NA,0.014,0.005,1.54,0.02,0
42_4_d1,1899-12-31T13:37:00Z,2019-07-02T00:00:00Z,6.43,G3,1.54,0.66,0,11.95,0.55,6.5,0,0,0.05,0.47,0.93,5.31,0.38,0.24,R_surface,281655.004,4871175.786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DG-065,pump,46.4,0.01,NA,NA,NA,0.017,0.008,1.65,0.019,0.012
42_4_d1,1899-12-31T13:44:00Z,2019-06-25T00:00:00Z,6.74,G3,1.56,0.66,0.01,13.07,0.56,6.74,0.01,0.01,0.05,0.49,0.9,5.3,0.33,0.22,R_surface,281655.004,4871175.786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DG-057,pump,46.8,0,NA,NA,NA,0.016,0.007,1.54,0.02,0.01
42_4_d1,1899-12-31T13:45:00Z,2019-07-23T00:00:00Z,6.28,G3,1.44,0.64,0.02,13.02,0.55,4.61,0.01,0.02,0.05,0.56,0.88,5.13,0.37,0.25,R_surface,281655.004,4871175.786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DG-092,pump,40.8,0.02,NA,NA,NA,0.034,0.009,1.84,0.018,0.004
42_4_d1,1899-12-31T14:25:00Z,2019-06-06T00:00:00Z,6.34,G3,1.68,0.65,0.01,13.95,0.62,4.28,0.02,0,0.05,0.61,0.87,5.59,0.43,0.27,R_surface,281655.004,4871175.786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DG-004,pump,34.8,0.07,NA,NA,NA,0.005,0.006,1.69,0.019,-0.001
42_4_d1,1899-12-31T14:57:00Z,2019-07-12T00:00:00Z,6.49,G3,1.7,0.63,0.01,13.07,0.75,4.36,0.03,0.01,0.08,1.04,0.87,5.58,1.04,0.47,R_surface,281655.004,4871175.786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DG-078,pump,42,0.16,NA,NA,NA,0.107,0.006,1.99,0.017,0.007
42_4_d1,1899-12-31T16:48:00Z,2019-06-11T00:00:00Z,6.68,G3,1,0.15,0.02,7.92,0.44,1.29,0.03,0,0.04,0.52,0.56,3.85,0.28,0.13,R_surface,281655.004,4871175.786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DG-031,pump,15.22,0,NA,NA,NA,0.002,0.001,1.18,0.018,-0.003
